Category,Sub-Category,Class Pattern,Example,CSS Property,Notes,For Dummies – How to Use & What It Does,Frappe UI Default?,Frappe UI Notes
Background,Solid Color,bg-{color}-{shade},bg-blue-500,background-color: #3b82f6,Shades: 50 100 200 300 400 500 600 700 800 900 950,"Slap a colored background on any element. Use it for buttons, cards, banners, or highlighting sections. Lower shades (50-200) = soft pastels, higher shades (700-950) = deep/dark tones.",YES,"Frappe UI replaces the full color palette with its own (gray, blue, green, red, orange, yellow, teal, violet, cyan, amber, pink, purple + white/black overlays). Standard Tailwind colors like slate, emerald, indigo, etc. are NOT available. Also adds semantic bg-surface-* colors."
Background,Gradient Direction,bg-gradient-to-{dir},bg-gradient-to-b,background-image: linear-gradient(to bottom ...),Directions: t b l r tr tl br bl,"Sets which direction your color gradient flows — top to bottom, left to right, diagonally, etc. Pair with from-/via-/to- colors to make smooth color transitions on hero sections or buttons.",,
Background,Gradient From,from-{color}-{shade},from-blue-500,--tw-gradient-from: #3b82f6,Starting color of gradient,Picks the starting color of a gradient. Think of it as the color on one end of a rainbow stripe. Combine with bg-gradient-to-* and a to- color.,YES,"Frappe UI replaces the full color palette with its own (gray, blue, green, red, orange, yellow, teal, violet, cyan, amber, pink, purple + white/black overlays). Standard Tailwind colors like slate, emerald, indigo, etc. are NOT available. Also adds semantic bg-surface-* colors."
Background,Gradient Via,via-{color}-{shade},via-purple-500,--tw-gradient-via: #a855f7,Middle color of gradient (optional),"Adds an optional middle color to your gradient so it blends through three colors instead of two. Great for richer, more eye-catching gradients.",YES,"Frappe UI replaces the full color palette with its own (gray, blue, green, red, orange, yellow, teal, violet, cyan, amber, pink, purple + white/black overlays). Standard Tailwind colors like slate, emerald, indigo, etc. are NOT available. Also adds semantic bg-surface-* colors."
Background,Gradient To,to-{color}-{shade},to-indigo-700,--tw-gradient-to: #4338ca,Ending color of gradient,"Picks the ending color of a gradient — the color on the opposite end from 'from'. Without this, the gradient fades to transparent.",YES,"Frappe UI replaces the full color palette with its own (gray, blue, green, red, orange, yellow, teal, violet, cyan, amber, pink, purple + white/black overlays). Standard Tailwind colors like slate, emerald, indigo, etc. are NOT available. Also adds semantic bg-surface-* colors."
Background,Opacity,bg-opacity-{value},bg-opacity-50,--tw-bg-opacity: 0.5,Values: 0 5 10 20 25 30 40 50 60 70 75 80 90 95 100,"Makes the background see-through. 0 = invisible, 100 = fully solid. Use it for overlay effects, frosted glass looks, or subtle tinted backgrounds.",YES,"Frappe UI replaces the full color palette with its own (gray, blue, green, red, orange, yellow, teal, violet, cyan, amber, pink, purple + white/black overlays). Standard Tailwind colors like slate, emerald, indigo, etc. are NOT available. Also adds semantic bg-surface-* colors."
Background,Image,bg-none | bg-gradient-to-*,bg-none,background-image: none,Use bg-gradient-to-* for gradients,Controls whether a background image is shown or not. Use bg-none to remove it. Mostly you'll use gradient classes instead.,,
Background,Size,bg-auto | bg-cover | bg-contain,bg-cover,background-size: cover,For background images,"Controls how a background image fills its container — cover stretches to fill, contain fits the whole image inside, auto keeps original size. Great for hero images and banners.",,
Background,Position,bg-center | bg-top | bg-bottom etc,bg-center,background-position: center,Also: bg-left bg-right bg-left-top etc,"Anchors where a background image sits inside its container — center it, pin it to the top, etc. Use when you want to control which part of a big image is visible.",,
Background,Repeat,bg-repeat | bg-no-repeat | bg-repeat-x,bg-no-repeat,background-repeat: no-repeat,Also: bg-repeat-y bg-repeat-round bg-repeat-space,"Controls whether a background image tiles/repeats. Use bg-no-repeat for a single image, or let it tile for patterns and textures.",,
Text,Color,text-{color}-{shade},text-gray-700,color: #374151,Same color/shade scale as backgrounds,"Changes the color of your text. Use lighter shades (300-400) for secondary text, medium (500-600) for body text, and dark (700-900) for headings.",YES,"Frappe UI replaces the color palette AND adds semantic text-ink-* colors (ink-gray-1 through ink-gray-9, ink-blue-*, ink-red-*, etc.). Standard Tailwind text-slate-*, text-emerald-*, etc. are NOT available."
Text,Size,text-{size},text-sm,font-size: 0.875rem,Sizes: xs sm base lg xl 2xl 3xl 4xl 5xl 6xl 7xl 8xl 9xl,"Makes text bigger or smaller. text-xs for fine print, text-base for normal body text, text-4xl+ for big bold headings.",YES,"Frappe UI REPLACES the entire fontSize scale. Sizes are: 2xs(11px), xs(12px), sm(13px), base(14px), lg(16px), xl(18px), 2xl(20px), 3xl(24px). Each has baked-in line-height, letter-spacing and font-weight. Larger sizes like 4xl-9xl are REMOVED. Also adds paragraph variants: text-p-2xs through text-p-3xl with taller line-height."
Text,Weight,font-{weight},font-semibold,font-weight: 600,thin extralight light normal medium semibold bold extrabold black,"Controls how thick/bold the text looks. font-light for delicate text, font-normal for body copy, font-bold for emphasis and headings.",YES,"Frappe UI's fontSize presets include built-in fontWeight (420 for small sizes, 400 for larger). These override default weight unless you explicitly add a font-* weight class. Weight 420 is a custom optical weight for Inter's variable font."
Text,Family,font-{family},font-sans,font-family: ...,sans serif mono (customisable in config),"Switches the font style — sans (clean/modern), serif (traditional/bookish), mono (code/technical). Customize further in your Tailwind config.",,
Text,Alignment,text-{align},text-center,text-align: center,left center right justify start end,"Aligns text left, center, right, or justified within its container. Use text-center for headings, text-left for body paragraphs.",,
Text,Decoration,underline | line-through | no-underline,underline,text-decoration-line: underline,Also: overline,"Adds an underline, strikethrough, or overline to text. Use underline for links, line-through for 'deleted' or sale prices.",,
Text,Decoration Color,decoration-{color}-{shade},decoration-blue-500,text-decoration-color: #3b82f6,Colour the underline/strikethrough,"Colors the underline or strikethrough line separately from the text. Nice for decorative links — e.g., blue text with a pink underline.",YES,Color palette is Frappe's custom set.
Text,Decoration Style,decoration-{style},decoration-wavy,text-decoration-style: wavy,solid double dotted dashed wavy,"Changes the underline style — solid, dotted, dashed, wavy, or double. Wavy underlines are great for spelling-error indicators.",,
Text,Decoration Thickness,decoration-{value},decoration-2,text-decoration-thickness: 2px,auto from-font 0 1 2 4 8,Makes the underline/strikethrough thicker or thinner. Use a thicker line for bold decorative effects.,,
Text,Underline Offset,underline-offset-{value},underline-offset-4,text-underline-offset: 4px,auto 0 1 2 4 8,"Moves the underline further from or closer to the text. Increase the offset so underlines don't cut through descenders (g, y, p).",,
Text,Transform,uppercase | lowercase | capitalize | normal-case,uppercase,text-transform: uppercase,,"Forces text to ALL CAPS, all lowercase, or Capitalizes Each Word. Use uppercase for labels, buttons, and nav items.",,
Text,Overflow,truncate | text-ellipsis | text-clip,truncate,overflow: hidden + text-overflow: ellipsis,truncate also sets white-space: nowrap,"Controls what happens when text is too long — truncate chops it with '…', which is perfect for card titles or table cells that might overflow.",,
Text,Wrap,text-wrap | text-nowrap | text-balance | text-pretty,text-nowrap,text-wrap: nowrap,text-pretty for better line breaks,"Controls how text wraps to new lines. text-nowrap keeps it on one line, text-balance evens out line lengths, text-pretty avoids orphans.",,
Text,Indent,indent-{value},indent-8,text-indent: 2rem,Uses spacing scale,"Indents the first line of a paragraph, like a book. Use for long-form reading content where you want a traditional paragraph look.",,
Text,Opacity,text-opacity-{value},text-opacity-75,--tw-text-opacity: 0.75,Values: 0 5 10 20 25 30 40 50 60 70 75 80 90 95 100,"Makes text semi-transparent. Useful for watermarks, disabled states, or de-emphasizing secondary info.",YES,"Works but color palette is Frappe's custom set, not default Tailwind."
Text,Line Height,leading-{value},leading-tight,line-height: 1.25,none tight snug normal relaxed loose or number 3-10,"Controls the vertical spacing between lines of text. Use leading-tight for headings, leading-relaxed for readable body text.",YES,"Frappe UI's fontSize presets include built-in line-height (1.15 for headings, 1.2-1.6 for paragraph variants). A standalone leading-* class will override, but the defaults are already set per font size."
Text,Letter Spacing,tracking-{value},tracking-wide,letter-spacing: 0.025em,tighter tight normal wide wider widest,Spreads letters apart or squeezes them together. tracking-wide on uppercase labels looks polished; tracking-tight for tight headlines.,YES,"Frappe UI's fontSize presets include built-in letter-spacing (0.005em to 0.02em depending on size). A standalone tracking-* class will override, but the defaults are already baked in."
Text,Whitespace,whitespace-{value},whitespace-nowrap,white-space: nowrap,normal nowrap pre pre-line pre-wrap break-spaces,"Controls how spaces and line breaks are handled. whitespace-nowrap prevents wrapping (useful in navbars), pre preserves formatting like code.",,
Text,Word Break,break-normal | break-words | break-all | break-keep,break-words,overflow-wrap: break-word,,Controls where long words can break. break-words prevents text from overflowing its container — essential for URLs or user-generated content.,,
Font,Style,italic | not-italic,italic,font-style: italic,,"Toggles italic text on or off. Use italic for emphasis, quotes, or variable names. not-italic resets it back to normal.",YES,Frappe UI sets the global font to InterVar (Inter variable font) with font-optical-sizing: auto and fontVariationSettings 'opsz' 24. The italic class works but renders in Inter's italic.
Font,Variant Numeric,ordinal | slashed-zero | tabular-nums etc,tabular-nums,font-variant-numeric: tabular-numeric,lining-nums oldstyle-nums proportional-nums tabular-nums,"Fine-tunes how numbers display — tabular-nums aligns digits in columns (great for tables/prices), oldstyle-nums for elegant body text.",,
Border,Width,border | border-{side} | border-{value},border-2,border-width: 2px,Sides: t r b l x y. Values: 0 2 4 8,"Adds a visible border around an element (or just one side). border-0 removes it, border-2/4/8 makes it thicker. Use on cards, inputs, and dividers.",,
Border,Color,border-{color}-{shade},border-gray-300,border-color: #d1d5db,Same color scale,"Sets the border color. Use subtle grays (gray-200/300) for cards and containers, or bright colors to highlight active/selected states.",YES,"Frappe UI sets the DEFAULT border color to var(--outline-gray-1) and adds semantic border-outline-* colors. Standard Tailwind border-slate-*, border-emerald-*, etc. are NOT available — only Frappe's palette."
Border,Style,border-{style},border-dashed,border-style: dashed,solid dashed dotted double hidden none,"Changes the border pattern — solid line, dashed, dotted, or double. Dashed borders work well for drop zones and placeholder areas.",,
Border,Opacity,border-opacity-{value},border-opacity-50,--tw-border-opacity: 0.5,,Makes borders semi-transparent. Useful for subtle dividers that shouldn't visually dominate the layout.,,
Border,Radius,rounded | rounded-{size},rounded-lg,border-radius: 0.5rem,none sm md lg xl 2xl 3xl full,"Rounds the corners of an element. rounded-md for buttons and cards, rounded-full to make circles (like avatars). rounded-none for sharp corners.",YES,"Frappe UI REPLACES the borderRadius scale: none=0, sm=4px, DEFAULT=8px, md=10px, lg=12px, xl=16px, 2xl=20px, full=9999px. Note DEFAULT is 8px (vs Tailwind's 4px), and the standard Tailwind sizes differ significantly."
Border,Radius Side,rounded-{side}-{size},rounded-t-lg,border-top-left/right-radius: 0.5rem,Sides: t r b l tl tr bl br,"Rounds only specific corners — e.g., round just the top for tab-style headers, or one corner for a decorative notch effect.",YES,"Same replaced borderRadius scale applies to per-side rounding. Values are Frappe's custom scale (sm=4px, DEFAULT=8px, md=10px, lg=12px, etc.)."
Border,Divide Width,divide-x | divide-y | divide-{value},divide-y-2,border-width between children,Applied via > * + * selector,Adds lines between child elements (like list items) without putting borders on the first/last. Instant visual separator for lists and stacked cards.,,
Border,Divide Color,divide-{color}-{shade},divide-gray-200,border-color between children,,Colors the divider lines between child elements. Use light grays for subtle separation or brand colors for styled lists.,YES,Frappe UI adds semantic divide-outline-* colors and uses its custom palette. Standard Tailwind divide color names not available.
Border,Divide Style,divide-{style},divide-dashed,border-style between children,solid dashed dotted double none,"Changes divider lines to dashed, dotted, etc. Use dashed dividers for a lighter, less rigid feel between items.",,
Border,Ring Width,ring | ring-{value},ring-2,box-shadow (ring),0 1 2 4 8 inset,Adds a focus ring (colored outline) around an element using box-shadow. Essential for accessible focus indicators on buttons and inputs.,,
Border,Ring Color,ring-{color}-{shade},ring-blue-500,--tw-ring-color,,Sets the color of the focus ring. Typically use your brand/primary color so focused elements are clearly highlighted.,YES,Frappe UI adds semantic ring-outline-* colors. Color palette is Frappe's custom set.
Border,Ring Offset,ring-offset-{value},ring-offset-2,--tw-ring-offset-width: 2px,0 1 2 4 8,"Adds a gap between the element and its ring, creating a 'floating ring' effect. Makes focus states look cleaner and more polished.",,
Border,Ring Offset Color,ring-offset-{color}-{shade},ring-offset-white,--tw-ring-offset-color,,Colors the gap between the ring and the element. Usually match it to the page background so the gap blends in.,YES,"Color palette is Frappe's custom set (no slate, emerald, indigo, etc.)."
Border,Outline Width,outline | outline-{value},outline-2,outline-width: 2px,0 1 2 4 8,"Adds an outline around an element (doesn't affect layout, unlike borders). Use for focus indicators or selected states.",,
Border,Outline Color,outline-{color}-{shade},outline-blue-500,outline-color: #3b82f6,,Sets the color of the outline. Use bright/brand colors for focus indicators so they stand out clearly.,YES,Color palette is Frappe's custom set.
Border,Outline Style,outline-{style},outline-dashed,outline-style: dashed,none solid dashed dotted double,"Changes the outline style — solid, dashed, dotted, etc. Or use outline-none to remove the default browser focus outline (add a ring instead!).",,
Border,Outline Offset,outline-offset-{value},outline-offset-2,outline-offset: 2px,0 1 2 4 8,Pushes the outline away from the element edge. Creates a floating outline effect for stylish focus states.,,
Shadow,Box Shadow,shadow | shadow-{size},shadow-lg,box-shadow: ...,sm md lg xl 2xl inner none,"Adds a drop shadow under an element to make it look 'lifted' off the page. Use shadow-sm for subtle depth (cards), shadow-xl for dramatic popups/modals.",YES,"Frappe UI REPLACES the boxShadow scale with custom multi-layered shadows: sm, DEFAULT, md, lg, xl, 2xl, none. Shadows use rgba(0,0,0) with different opacities. 'inner' shadow is REMOVED."
Shadow,Shadow Color,shadow-{color}-{shade},shadow-blue-500/50,--tw-shadow-color,Use /opacity for transparency,"Tints the shadow with a color — e.g., a blue card with a blue shadow for a glowing effect. Use /opacity to control intensity.",YES,Color palette is Frappe's custom set. Shadow colors use Frappe's palette.
Spacing,Padding,p-{value} | p{side}-{value},px-4,padding: 1rem,Sides: x y t r b l s e. Scale: 0 0.5 1 1.5 2 2.5 3 3.5 4 5 6 7 8 9 10 11 12 14 16 20 24 28 32 36 40 44 48 52 56 60 64 72 80 96,"Adds space INSIDE an element, between its border and content. Use p-4 for comfortable card padding, px-6 py-3 for buttons. The most-used spacing tool.",YES,"Frappe UI EXTENDS the spacing scale with half-step values: 4.5, 5.5, 6.5, 7.5, 8.5, 9.5, 10.5, 11.5, 12.5, 13, 13.5, 14.5, 15, 15.5. Standard Tailwind spacing still works, plus these extras."
Spacing,Margin,m-{value} | m{side}-{value},mt-4,margin-top: 1rem,Same sides and scale as padding. Also: auto,"Adds space OUTSIDE an element, pushing it away from neighbors. Use mt-4 to add space above, mx-auto to horizontally center a block.",YES,"Same extended spacing scale as padding — adds half-steps like m-4.5, m-5.5, etc. on top of standard Tailwind values."
Spacing,Space Between,space-x-{value} | space-y-{value},space-y-4,margin between children,Applied via > * + * selector. Also: space-x-reverse space-y-reverse,Adds equal spacing between child elements automatically. Use space-y-4 for vertical lists or space-x-2 for horizontal button groups — no manual margins needed.,YES,Same extended spacing scale applies — adds half-step values on top of standard Tailwind.
Sizing,Width,w-{value},w-64,width: 16rem,Scale values + fractions: w-1/2 w-1/3 w-2/3 w-1/4 w-full w-screen w-auto w-min w-max w-fit,"Sets how wide an element is. w-full = 100% wide, w-1/2 = half width, w-64 = fixed 16rem. Use fractions for responsive grid-like layouts.",YES,"Frappe UI EXTENDS width with w-3.5 (0.875rem), w-112 (28rem), and w-wizard (650px). Standard widths still work."
Sizing,Min Width,min-w-{value},min-w-0,min-width: 0,0 full min max fit,Sets the minimum width — the element won't shrink smaller than this. Use min-w-0 in flex items to allow text truncation.,YES,Frappe UI EXTENDS minWidth with min-w-40 (10rem) and min-w-50 (18rem).
Sizing,Max Width,max-w-{value},max-w-lg,max-width: 32rem,0 none xs sm md lg xl 2xl 3xl 4xl 5xl 6xl 7xl full min max fit prose screen-sm etc,Caps how wide something can grow. Use max-w-lg or max-w-prose to keep text content readable by limiting line length.,,
Sizing,Height,h-{value},h-16,height: 4rem,Same scale as width + h-screen h-full h-auto h-min h-max h-fit,"Sets element height. h-screen makes it full viewport height (great for hero sections), h-full fills the parent, h-16 for fixed size.",YES,Frappe UI EXTENDS height with h-3.5 (0.875rem). Standard heights still work.
Sizing,Min Height,min-h-{value},min-h-screen,min-height: 100vh,0 full screen min max fit,Ensures an element is at least a certain height. min-h-screen is the classic trick for full-page layouts that fill the viewport.,,
Sizing,Max Height,max-h-{value},max-h-96,max-height: 24rem,Same scale + full screen min max fit,Caps how tall something can grow. Perfect for scrollable containers — set max-h-96 and add overflow-auto for a scrollable list.,YES,Frappe UI EXTENDS maxHeight with max-h-52 (13rem).
Sizing,Size (w+h),size-{value},size-8,width + height: 2rem,Sets both width and height simultaneously,"Sets width AND height at once. Use size-8 for square icons, size-12 for avatar circles. Saves writing both w- and h- classes.",,
Layout,Display,block | inline-block | flex | grid | hidden etc,flex,display: flex,inline inline-block block flex inline-flex grid inline-grid table hidden contents flow-root list-item,Controls how an element behaves in the layout. flex and grid are your main layout tools; hidden removes it from view; block for stacking.,,
Layout,Position,static | relative | absolute | fixed | sticky,relative,position: relative,,Controls how an element is positioned. relative lets you nudge it; absolute pulls it out of flow; fixed sticks to the viewport; sticky stays on scroll.,,
Layout,Top/Right/Bottom/Left,{side}-{value},top-4,top: 1rem,inset inset-x inset-y top right bottom left. Values from spacing scale + auto,"Positions an element at exact offsets from its edges. Use with absolute/fixed — e.g., top-0 right-0 pins something to the top-right corner.",,
Layout,Z-Index,z-{value},z-50,z-index: 50,0 10 20 30 40 50 auto,Controls stacking order — which elements appear in front of others. Higher number = closer to viewer. Use z-50 for modals and dropdowns.,,
Layout,Overflow,overflow-{value},overflow-hidden,overflow: hidden,auto hidden clip visible scroll. Also: overflow-x-* overflow-y-*,"Controls what happens when content is bigger than its container. overflow-hidden clips it, overflow-auto adds scrollbars when needed.",,
Layout,Visibility,visible | invisible | collapse,invisible,visibility: hidden,,Hides an element but keeps its space in the layout (unlike hidden/display:none which removes the space). Use for layout-preserving toggles.,,
Layout,Opacity,opacity-{value},opacity-75,opacity: 0.75,0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100,"Makes an entire element (and its children) transparent. opacity-0 for invisible (great for fade-in animations), opacity-50 for a ghosted look.",,
Flexbox,Direction,flex-row | flex-col | flex-row-reverse | flex-col-reverse,flex-col,flex-direction: column,,"Sets whether flex children stack horizontally (row) or vertically (col). flex-col for card layouts and forms, flex-row for navbars and toolbars.",,
Flexbox,Wrap,flex-wrap | flex-nowrap | flex-wrap-reverse,flex-wrap,flex-wrap: wrap,,Controls whether flex items wrap to the next line or stay on one line. flex-wrap lets items flow to new rows — essential for responsive tag/badge lists.,,
Flexbox,Grow,grow | grow-0,grow,flex-grow: 1,,Lets a flex item stretch to fill remaining space. grow on a middle column makes it fill the gap; grow-0 keeps it at its natural size.,,
Flexbox,Shrink,shrink | shrink-0,shrink-0,flex-shrink: 0,,Controls whether a flex item can shrink below its natural size. shrink-0 prevents shrinking — use on logos or icons that must stay full size.,,
Flexbox,Basis,basis-{value},basis-1/2,flex-basis: 50%,Uses spacing scale + fractions + auto full,Sets the initial size of a flex item before growing/shrinking kicks in. basis-1/2 makes it start at 50% width — like a more flexible grid.,,
Flexbox,Flex,flex-1 | flex-auto | flex-initial | flex-none,flex-1,flex: 1 1 0%,,"Shorthand for grow + shrink + basis. flex-1 = fill available space equally, flex-none = don't grow or shrink at all.",,
Flexbox,Order,order-{value},order-first,order: -9999,1-12 first last none,Rearranges flex items visually without changing HTML order. order-first bumps an item to the front — great for responsive reordering.,,
Flexbox,Justify Content,justify-{value},justify-between,justify-content: space-between,normal start end center between around evenly stretch,"Controls horizontal spacing of flex items. justify-center to center them, justify-between to push them to opposite ends (classic navbar layout).",,
